Cust_No,Target,Nation,Birth_Place,Gender,Age,Marriage_State,Highest Education,House_State,Work_Years,Title,Duty,Industry,Year_Income,Couple_Year_Income,L12_Month_Pay_Amount,Couple_L12_Month_Pay_Amount,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
2,0,1,330621,1,55,40,71,1,0,9,9,52,100000,180000,0,0,523.32,10000,560000,2,2,1,0,2,1,1,1,0,0,0,0
4,0,1,330621,0,40,99,90,1,0,,2,51,300000,300000,0,0,2305.25,20000,0,4,4,0,0,0,0,0,0,0,0,0,0
6,0,1,330621,1,45,20,71,1,0,,,17,150000,100000,0,0,17299.71,20000,1350000,9,5,1,23,3,1,2,2,0,0,0,0
7,0,,330421,0,32,20,21,1,0,,0,83,80000,120000,0,0,122.24,20000,120000,12,3,1,1,3,1,1,1,0,0,0,0
8,0,1,330621,0,46,20,71,,0,,0,,50000,30000,0,0,91.82,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,330621,0,35,20,31,1,68624,9,9,83,70000,60000,96966.62,0,19.46,10000,320000,1,1,0,0,0,0,20,2,0,0,0,0
10,0,1,330621,1,46,20,71,1,68624,9,9,17,80000,100000,0,0,438.59,4000,300000,6,4,2,519,3,1,1,1,0,0,0,0
11,1,1,330621,0,39,99,31,1,0,9,9,66,150000,200000,0,0,0.45,50000,0,19,9,9,23698,9,2,11,4,3,10918,9,4
13,0,1,330621,1,54,20,61,2,68619,9,0,52,150000,30000,141.88,0,343.74,5000,260000,4,3,0,0,0,0,7,4,0,0,0,0
14,0,1,330621,1,45,20,71,1,68631,9,1,,150000,100000,0,0,220.5,20000,0,6,4,3,6379,33,1,1,1,2,4582,3,1
15,0,1,330621,0,31,99,9,1,0,9,9,1,50000,150000,0,0,804.46,10000,0,3,2,1,0,1,1,0,0,0,0,0,0
16,0,1,522323,0,40,20,71,1,0,9,9,1,6,80000,0,0,0,20000,0,5,4,0,0,0,0,0,0,0,0,0,0
17,0,1,330621,1,42,20,71,1,0,0,1,51,200000,100000,0,0,712.52,10000,0,4,3,2,495,6,1,1,1,0,0,0,0
18,0,1,330621,1,39,20,61,1,0,9,9,51,180000,250000,0,0,882.15,10000,200000,5,4,2,0,2,1,2,2,1,3474,2,1
19,0,1,330621,1,28,20,61,2,0,9,1,17,200000,150000,3990,0,27.54,20000,100000,4,3,1,0,1,1,3,3,0,0,0,0
24,0,1,330621,1,44,20,61,1,0,,0,52,80000,60000,0,0,58775.93,15000,46436.99,7,6,1,176,4,2,0,0,0,0,0,0
25,0,1,330621,0,30,20,41,1,0,9,0,4,60000,120000,0,0,1318.01,10000,250000,7,5,2,200,4,1,1,1,0,0,0,0
27,0,1,330621,1,44,20,61,1,0,0,1,52,300000,200000,0,0,703.29,20000,400000,4,3,1,66,0,0,2,2,1,1,1,1
29,0,90,411322,1,27,20,71,1,0,,,52,100000,250000,0,0,0,5000,0,4,2,0,0,0,0,0,0,0,0,0,0
30,0,1,330621,1,55,20,71,1,0,,,17,500000,30000,0,0,74.81,20000,480000,4,3,1,803,4,1,2,2,1,15491,0,0
31,0,1,330621,1,47,20,71,1,0,,0,,120000,4,0,0,684.32,10000,0,0,0,0,0,0,0,0,0,1,1,9,7
32,0,90,330621,1,40,20,71,1,0,,0,17,150000,5,0,0,9993.97,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1,330621,1,43,99,61,1,0,9,2,17,150000,50000,0,0,53820.27,10000,246250,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,330621,1,40,20,47,1,0,9,,17,80000,0,0,0,116.03,20000,200000,6,4,2,188,3,1,3,3,0,0,0,0
36,0,1,330621,0,37,20,71,1,68627,3,0,24,50000,80000,0,0,105070.55,5000,200000,7,5,5,7441,42,1,3,3,0,0,0,0
37,0,1,330621,1,49,20,71,1,68629,9,0,24,120000,100000,0,0,195.02,5000,250000,3,3,1,0,1,1,2,2,0,0,0,0
38,0,1,330621,1,46,20,41,1,68624,0,9,51,180000,202000,0,0,256.77,20000,400000,9,5,0,0,0,0,1,1,0,0,0,0
39,0,1,330621,1,41,20,61,1,0,9,9,17,300000,300000,0,0,1340.09,20000,1600000,2,2,0,0,0,0,1,1,0,0,0,0
40,1,1,330621,1,43,20,61,1,68623,9,9,51,300000,100000,0,0,7.53,5000,290000,5,3,3,1505,13,5,1,1,0,0,0,0
41,0,1,330621,0,35,20,71,1,0,,9,52,100000,300000,0,0,0,15000,0,7,6,0,0,0,0,0,0,0,0,0,0
43,0,1,330621,0,24,20,21,1,0,9,1,17,150000,100000,0,0,12103.8,10000,182568.88,9,7,0,0,0,0,2,2,0,0,0,0
44,0,1,330621,0,28,10,31,1,0,9,9,82,96000,100000,41984.4,0,198.57,10000,338199.17,5,4,2,1430,4,1,1,1,0,0,0,0
45,0,90,330621,1,49,99,71,1,0,,9,17,80000,4,0,0,1436.22,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
46,0,1,330621,1,43,20,71,1,0,9,9,22,300000,20000,0,0,1156.61,10000,300000,2,2,0,0,0,0,2,2,0,0,0,0
47,0,1,330602,1,31,20,61,1,0,9,9,52,100000,200000,0,0,134517.25,10000,400000,5,3,1,0,2,1,2,2,1,695575,30,3
48,0,1,330621,1,48,99,90,1,0,9,9,50,150000,40000,0,0,287.95,10000,300000,3,3,2,683,8,3,3,2,2,2680,18,1
49,0,1,330621,0,50,20,9,1,68624,9,2,18,100000,80000,0,0,395.44,10000,0,1,1,0,0,0,0,4,2,0,0,0,0
50,0,1,330621,1,53,20,71,,0,,0,,50000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,1,330149,0,48,20,71,1,0,,9,1,40000,300000,0,0,0.08,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
52,0,1,330621,1,49,40,71,1,0,9,,50,300000,200000,0,0,9563.91,20000,1500000,3,2,0,0,0,0,3,2,0,0,0,0
53,0,,330621,1,38,2,21,,0,,1,,300000,250000,0,0,0,20000,0,9,4,3,7151,28,3,0,0,0,0,0,0
54,0,1,330621,1,49,20,71,1,0,0,9,51,300000,100000,0,0,563.41,10000,200000,4,3,0,0,0,0,1,1,0,0,0,0
55,0,1,360121,1,53,20,21,1,0,9,1,,500000,100000,0,0,1496.44,15000,500000,5,3,0,0,0,0,1,1,0,0,0,0
